fighter1,fighter2,result1,result2,date
Nate-Diaz,Josh-Neer,Win,Loss,2008-09-17
Clay-Guida,Mac-Danzig,Win,Loss,2008-09-17
Alan-Belcher,Ed-Herman,Win,Loss,2008-09-17
Eric-Schafer,Houston-Alexander,Win,Loss,2008-09-17
Alessio-Sakara,Joe-Vedepo,Win,Loss,2008-09-17
Wilson-Gouveia,Ryan-Jensen,Win,Loss,2008-09-17
Joe-Lauzon,Kyle-Bradley,Win,Loss,2008-09-17
Jason-Brilz,Brad-Morris,Win,Loss,2008-09-17
Mike-Massenzio,Drew-McFedries,Win,Loss,2008-09-17
Dan-Miller,Rob-Kimmons,Win,Loss,2008-09-17
Brock-Lesnar,Randy-Couture,Win,Loss,2008-11-15
Kenny-Florian,Joe-Stevenson,Win,Loss,2008-11-15
Dustin-Hazelett,Tamdan-McCrory,Win,Loss,2008-11-15
Gabriel-Gonzaga,Josh-Hendricks,Win,Loss,2008-11-15
Demian-Maia,Nate-Quarry,Win,Loss,2008-11-15
Aaron-Riley,Jorge-Gurgel,Win,Loss,2008-11-15
Jeremy-Stephens,Rafael-Dos Anjos,Win,Loss,2008-11-15
Mark-Bocek,Alvin-Robinson,Win,Loss,2008-11-15
Matt-Brown,Ryan-Thomas,Win,Loss,2008-11-15
Michael-Bisping,Chris-Leben,Win,Loss,2008-10-18
Keith-Jardine,Brandon-Vera,Win,Loss,2008-10-18
Luiz-Cane,Rameau Thierry-Sokoudjou,Win,Loss,2008-10-18
Chris-Lytle,Paul-Taylor,Win,Loss,2008-10-18
Marcus-Davis,Paul-Kelly,Win,Loss,2008-10-18
Dan-Hardy,Akihiro-Gono,Win,Loss,2008-10-18
Shane-Carwin,Neil-Wain,Win,Loss,2008-10-18
David-Bielkheden,Jess-Liaudin,Win,Loss,2008-10-18
Terry-Etim,Sam-Stout,Win,Loss,2008-10-18
Jim-Miller,David-Baron,Win,Loss,2008-10-18
Per-Eklund,Samy-Schiavo,Win,Loss,2008-10-18
Rashad-Evans,Chuck-Liddell,Win,Loss,2008-09-06
Rich-Franklin,Matt-Hamill,Win,Loss,2008-09-06
Dan-Henderson,Rousimar-Palhares,Win,Loss,2008-09-06
Nate-Marquardt,Martin-Kampmann,Win,Loss,2008-09-06
Dong Hyun-Kim,Matt-Brown,Win,Loss,2008-09-06
Kurt-Pellegrino,Thiago-Tavares,Win,Loss,2008-09-06
Tim-Boetsch,Michael-Patt,Win,Loss,2008-09-06
Jason-MacDonald,Jason-Lambert,Win,Loss,2008-09-06
Ryo-Chonan,Roan-Carneiro,Win,Loss,2008-09-06
Forrest-Griffin,Quinton-Jackson,Win,Loss,2008-07-05
Patrick-Cote,Ricardo-Almeida,Win,Loss,2008-07-05
Joe-Stevenson,Gleison-Tibau,Win,Loss,2008-07-05
Josh-Koscheck,Chris-Lytle,Win,Loss,2008-07-05
Tyson-Griffin,Marcus-Aurelio,Win,Loss,2008-07-05
Gabriel-Gonzaga,Justin-McCully,Win,Loss,2008-07-05
Cole-Miller,Jorge-Gurgel,Win,Loss,2008-07-05
Melvin-Guillard,Dennis-Siver,Win,Loss,2008-07-05
Justin-Buchholz,Corey-Hill,Win,Loss,2008-07-05
Anderson-Silva,Patrick-Cote,Win,Loss,2008-10-25
Thiago-Alves,Josh-Koscheck,Win,Loss,2008-10-25
Gray-Maynard,Rich-Clementi,Win,Loss,2008-10-25
Junior-Dos Santos,Fabricio-Werdum,Win,Loss,2008-10-25
Sean-Sherk,Tyson-Griffin,Win,Loss,2008-10-25
Thales-Leites,Drew-McFedries,Win,Loss,2008-10-25
Spencer-Fisher,Shannon-Gugerty,Win,Loss,2008-10-25
Dan-Miller,Matt-Horwich,Win,Loss,2008-10-25
Hermes-Franca,Marcus-Aurelio,Win,Loss,2008-10-25
Pete-Sell,Joshua-Burkman,Win,Loss,2008-10-25
Josh-Koscheck,Yoshiyuki-Yoshida,Win,Loss,2008-12-10
Mike-Swick,Jonathan-Goulet,Win,Loss,2008-12-10
Steve-Cantwell,Razak-Al-Hassan,Win,Loss,2008-12-10
Tim-Credeur,Nate-Loughran,Win,Loss,2008-12-10
Jim-Miller,Matt-Wiman,Win,Loss,2008-12-10
Luigi-Fioravanti,Brodie-Farber,Win,Loss,2008-12-10
Steve-Bruno,Johnny-Rees,Win,Loss,2008-12-10
Ben-Saunders,Brandon-Wolff,Win,Loss,2008-12-10
Dale-Hartt,Corey-Hill,Win,Loss,2008-12-10
Justin-McCully,Eddie-Sanchez,Win,Loss,2008-12-10
Efrain-Escudero,Phillipe-Nover,Win,Loss,2008-12-13
Ryan-Bader,Vinny-Magalhaes,Win,Loss,2008-12-13
Anthony-Johnson,Kevin-Burns,Win,Loss,2008-12-13
Wilson-Gouveia,Jason-MacDonald,Win,Loss,2008-12-13
Junie-Browning,David-Kaplan,Win,Loss,2008-12-13
Krzysztof-Soszynski,Shane-Primm,Win,Loss,2008-12-13
Eliot-Marshall,Jules-Bruchez,Win,Loss,2008-12-13
Tom-Lawlor,Kyle-Kingsbury,Win,Loss,2008-12-13
Shane-Nelson,George-Roop,Win,Loss,2008-12-13
Rolando-Delgado,John-Polakowski,Win,Loss,2008-12-13
Kendall-Grove,Evan-Tanner,Win,Loss,2008-06-21
Amir-Sadollah,CB-Dollaway,Win,Loss,2008-06-21
Diego-Sanchez,Luigi-Fioravanti,Win,Loss,2008-06-21
Spencer-Fisher,Jeremy-Stephens,Win,Loss,2008-06-21
Matthew-Riddle,Dante-Rivera,Win,Loss,2008-06-21
Dustin-Hazelett,Joshua-Burkman,Win,Loss,2008-06-21
Drew-McFedries,Marvin-Eastman,Win,Loss,2008-06-21
Matt-Brown,Matt-Arroyo,Win,Loss,2008-06-21
Dean-Lister,Jeremy-Horn,Win,Loss,2008-06-21
Rob-Kimmons,Rob-Yundt,Win,Loss,2008-06-21
Thiago-Alves,Matt-Hughes,Win,Loss,2008-06-07
Michael-Bisping,Jason-Day,Win,Loss,2008-06-07
Mike-Swick,Marcus-Davis,Win,Loss,2008-06-07
Thales-Leites,Nate-Marquardt,Win,Loss,2008-06-07
Fabricio-Werdum,Brandon-Vera,Win,Loss,2008-06-07
Martin-Kampmann,Jorge-Rivera,Win,Loss,2008-06-07
Matt-Wiman,Thiago-Tavares,Win,Loss,2008-06-07
Kevin-Burns,Roan-Carneiro,Win,Loss,2008-06-07
Luiz-Cane,Jason-Lambert,Win,Loss,2008-06-07
Paul-Taylor,Jess-Liaudin,Win,Loss,2008-06-07
Antoni-Hardonk,Eddie-Sanchez,Win,Loss,2008-06-07
Rashad-Evans,Forrest-Griffin,Win,Loss,2008-12-27
Frank-Mir,Antonio Rodrigo-Nogueira,Win,Loss,2008-12-27
CB-Dollaway,Mike-Massenzio,Win,Loss,2008-12-27
Quinton-Jackson,Wanderlei-Silva,Win,Loss,2008-12-27
Cheick-Kongo,Mostapha-Al-Turk,Win,Loss,2008-12-27
Yushin-Okami,Dean-Lister,Win,Loss,2008-12-27
Antoni-Hardonk,Mike-Wessel,Win,Loss,2008-12-27
Matt-Hamill,Reese-Andy,Win,Loss,2008-12-27
Brad-Blackburn,Ryo-Chonan,Win,Loss,2008-12-27
Pat-Barry,Dan-Evensen,Win,Loss,2008-12-27
BJ-Penn,Sean-Sherk,Win,Loss,2008-05-24
Wanderlei-Silva,Keith-Jardine,Win,Loss,2008-05-24
Goran-Reljic,Wilson-Gouveia,Win,Loss,2008-05-24
Lyoto-Machida,Tito-Ortiz,Win,Loss,2008-05-24
Thiago-Silva,Antonio-Mendes,Win,Loss,2008-05-24
Rousimar-Palhares,Ivan-Salaverry,Win,Loss,2008-05-24
Rameau Thierry-Sokoudjou,Kazuhiro-Nakamura,Win,Loss,2008-05-24
Rich-Clementi,Terry-Etim,Win,Loss,2008-05-24
Yoshiyuki-Yoshida,War-Machine,Win,Loss,2008-05-24
Dong Hyun-Kim,Jason-Tan,Win,Loss,2008-05-24
Shane-Carwin,Christian-Wellisch,Win,Loss,2008-05-24
Georges-St-Pierre,Jon-Fitch,Win,Loss,2008-08-09
Brock-Lesnar,Heath-Herring,Win,Loss,2008-08-09
Rob-Emerson,Manvel-Gamburyan,Win,Loss,2008-08-09
Kenny-Florian,Roger-Huerta,Win,Loss,2008-08-09
Demian-Maia,Jason-MacDonald,Win,Loss,2008-08-09
Tamdan-McCrory,Luke-Cummo,Win,Loss,2008-08-09
Cheick-Kongo,Dan-Evensen,Win,Loss,2008-08-09
Jon-Jones,Andre-Gusmao,Win,Loss,2008-08-09
Chris-Wilson,Steve-Bruno,Win,Loss,2008-08-09
Ben-Saunders,Ryan-Thomas,Win,Loss,2008-08-09
Kenny-Florian,Joe-Lauzon,Win,Loss,2008-04-02
Gray-Maynard,Frankie-Edgar,Win,Loss,2008-04-02
Thiago-Alves,Karo-Parisyan,Win,Loss,2008-04-02
Matt-Hamill,Tim-Boetsch,Win,Loss,2008-04-02
Nate-Diaz,Kurt-Pellegrino,Win,Loss,2008-04-02
James-Irvin,Houston-Alexander,Win,Loss,2008-04-02
Josh-Neer,Din-Thomas,Win,Loss,2008-04-02
Marcus-Aurelio,Ryan-Roberts,Win,Loss,2008-04-02
Manvel-Gamburyan,Jeff-Cox,Win,Loss,2008-04-02
Clay-Guida,Samy-Schiavo,Win,Loss,2008-04-02
George-Sotiropoulos,Roman-Mitichyan,Win,Loss,2008-04-02
Anthony-Johnson,Tommy-Speer,Win,Loss,2008-04-02
Georges-St-Pierre,Matt-Serra,Win,Loss,2008-04-19
Rich-Franklin,Travis-Lutter,Win,Loss,2008-04-19
Nate-Quarry,Kalib-Starnes,Win,Loss,2008-04-19
Michael-Bisping,Charles-McCarthy,Win,Loss,2008-04-19
Mac-Danzig,Mark-Bocek,Win,Loss,2008-04-19
Jason-MacDonald,Joe-Doerksen,Win,Loss,2008-04-19
Jason-Day,Alan-Belcher,Win,Loss,2008-04-19
Demian-Maia,Ed-Herman,Win,Loss,2008-04-19
Rich-Clementi,Sam-Stout,Win,Loss,2008-04-19
Cain-Velasquez,Brad-Morris,Win,Loss,2008-04-19
Jonathan-Goulet,Kuniyoshi-Hironaka,Win,Loss,2008-04-19
Anderson-Silva,James-Irvin,Win,Loss,2008-07-19
Brandon-Vera,Reese-Andy,Win,Loss,2008-07-19
Frankie-Edgar,Hermes-Franca,Win,Loss,2008-07-19
Cain-Velasquez,Jake-O'Brien,Win,Loss,2008-07-19
Kevin-Burns,Anthony-Johnson,Win,Loss,2008-07-19
CB-Dollaway,Jesse-Taylor,Win,Loss,2008-07-19
Tim-Credeur,Cale-Yarbrough,Win,Loss,2008-07-19
Rory-Markham,Brodie-Farber,Win,Loss,2008-07-19
Nate-Loughran,Johnny-Rees,Win,Loss,2008-07-19
Brad-Blackburn,James-Giboo,Win,Loss,2008-07-19
Shannon-Gugerty,Dale-Hartt,Win,Loss,2008-07-19
Mike-Swick,Joshua-Burkman,Win,Loss,2008-01-23
Patrick-Cote,Drew-McFedries,Win,Loss,2008-01-23
Thiago-Tavares,Michihiro-Omigawa,Win,Loss,2008-01-23
Nate-Diaz,Alvin-Robinson,Win,Loss,2008-01-23
Kurt-Pellegrino,Alberto-Crane,Win,Loss,2008-01-23
Gray-Maynard,Dennis-Siver,Win,Loss,2008-01-23
Jeremy-Stephens,Cole-Miller,Win,Loss,2008-01-23
Corey-Hill,Joe-Veres,Win,Loss,2008-01-23
Matt-Wiman,Justin-Buchholz,Win,Loss,2008-01-23
Anderson-Silva,Dan-Henderson,Win,Loss,2008-03-01
Heath-Herring,Cheick-Kongo,Win,Loss,2008-03-01
Chris-Leben,Alessio-Sakara,Win,Loss,2008-03-01
Yushin-Okami,Evan-Tanner,Win,Loss,2008-03-01
Jon-Fitch,Chris-Wilson,Win,Loss,2008-03-01
Andrei-Arlovski,Jake-O'Brien,Win,Loss,2008-03-01
Luigi-Fioravanti,Luke-Cummo,Win,Loss,2008-03-01
Josh-Koscheck,Dustin-Hazelett,Win,Loss,2008-03-01
Diego-Sanchez,David-Bielkheden,Win,Loss,2008-03-01
Jorge-Gurgel,John-Halverson,Win,Loss,2008-03-01
Antonio Rodrigo-Nogueira,Tim-Sylvia,Win,Loss,2008-02-02
Frank-Mir,Brock-Lesnar,Win,Loss,2008-02-02
Nate-Marquardt,Jeremy-Horn,Win,Loss,2008-02-02
Ricardo-Almeida,Rob-Yundt,Win,Loss,2008-02-02
Tyson-Griffin,Gleison-Tibau,Win,Loss,2008-02-02
Chris-Lytle,Kyle-Bradley,Win,Loss,2008-02-02
Tim-Boetsch,David-Heath,Win,Loss,2008-02-02
Marvin-Eastman,Terry-Martin,Win,Loss,2008-02-02
Rob-Emerson,Keita-Nakamura,Win,Loss,2008-02-02
BJ-Penn,Joe-Stevenson,Win,Loss,2008-01-19
Fabricio-Werdum,Gabriel-Gonzaga,Win,Loss,2008-01-19
Marcus-Davis,Jess-Liaudin,Win,Loss,2008-01-19
Wilson-Gouveia,Jason-Lambert,Win,Loss,2008-01-19
Jorge-Rivera,Kendall-Grove,Win,Loss,2008-01-19
Antoni-Hardonk,Colin-Robinson,Win,Loss,2008-01-19
Paul-Kelly,Paul-Taylor,Win,Loss,2008-01-19
Alessio-Sakara,James-Lee,Win,Loss,2008-01-19
Sam-Stout,Per-Eklund,Win,Loss,2008-01-19
Georges-St-Pierre,Matt-Hughes,Win,Loss,2007-12-29
Chuck-Liddell,Wanderlei-Silva,Win,Loss,2007-12-29
Eddie-Sanchez,Soa-Palelei,Win,Loss,2007-12-29
Lyoto-Machida,Rameau Thierry-Sokoudjou,Win,Loss,2007-12-29
Rich-Clementi,Melvin-Guillard,Win,Loss,2007-12-29
James-Irvin,Luiz-Cane,Win,Loss,2007-12-29
Manvel-Gamburyan,Nate-Mohr,Win,Loss,2007-12-29
Dean-Lister,Jordan-Radev,Win,Loss,2007-12-29
Roan-Carneiro,Tony-DeSouza,Win,Loss,2007-12-29
Mark-Bocek,Doug-Evans,Win,Loss,2007-12-29
Rashad-Evans,Michael-Bisping,Win,Loss,2007-11-17
Thiago-Silva,Houston-Alexander,Win,Loss,2007-11-17
Karo-Parisyan,Ryo-Chonan,Win,Loss,2007-11-17
Ed-Herman,Joe-Doerksen,Win,Loss,2007-11-17
Frankie-Edgar,Spencer-Fisher,Win,Loss,2007-11-17
Thiago-Alves,Chris-Lytle,Win,Loss,2007-11-17
Joe-Lauzon,Jason-Reinhardt,Win,Loss,2007-11-17
Marcus-Aurelio,Luke-Caudillo,Win,Loss,2007-11-17
Akihiro-Gono,Tamdan-McCrory,Win,Loss,2007-11-17
Roger-Huerta,Clay-Guida,Win,Loss,2007-12-08
Mac-Danzig,Tommy-Speer,Win,Loss,2007-12-08
War-Machine,Jared-Rollins,Win,Loss,2007-12-08
George-Sotiropoulos,Billy-Miles,Win,Loss,2007-12-08
Ben-Saunders,Dan-Barrera,Win,Loss,2007-12-08
Troy-Mandaloniz,Richie-Hightower,Win,Loss,2007-12-08
Matt-Arroyo,John-Kolosci,Win,Loss,2007-12-08
Roman-Mitichyan,Dorian-Price,Win,Loss,2007-12-08
Jonathan-Goulet,Paul-Georgieff,Win,Loss,2007-12-08
Quinton-Jackson,Dan-Henderson,Win,Loss,2007-09-08
Michael-Bisping,Matt-Hamill,Win,Loss,2007-09-08
Cheick-Kongo,Mirko-Filipovic,Win,Loss,2007-09-08
Marcus-Davis,Paul-Taylor,Win,Loss,2007-09-08
Houston-Alexander,Alessio-Sakara,Win,Loss,2007-09-08
Gleison-Tibau,Terry-Etim,Win,Loss,2007-09-08
Thiago-Silva,Tomasz-Drwal,Win,Loss,2007-09-08
Dennis-Siver,Naoyuki-Kotani,Win,Loss,2007-09-08
Jess-Liaudin,Anthony-Torres,Win,Loss,2007-09-08
Anderson-Silva,Rich-Franklin,Win,Loss,2007-10-20
Tim-Sylvia,Brandon-Vera,Win,Loss,2007-10-20
Alvin-Robinson,Jorge-Gurgel,Win,Loss,2007-10-20
Stephan-Bonnar,Eric-Schafer,Win,Loss,2007-10-20
Alan-Belcher,Kalib-Starnes,Win,Loss,2007-10-20
Yushin-Okami,Jason-MacDonald,Win,Loss,2007-10-20
Demian-Maia,Ryan-Jensen,Win,Loss,2007-10-20
Joshua-Burkman,Forrest-Petz,Win,Loss,2007-10-20
Matt-Grice,Jason-Black,Win,Loss,2007-10-20
Randy-Couture,Gabriel-Gonzaga,Win,Loss,2007-08-25
Georges-St-Pierre,Josh-Koscheck,Win,Loss,2007-08-25
Roger-Huerta,Alberto-Crane,Win,Loss,2007-08-25
Joe-Stevenson,Kurt-Pellegrino,Win,Loss,2007-08-25
Patrick-Cote,Kendall-Grove,Win,Loss,2007-08-25
Renato-Sobral,David-Heath,Win,Loss,2007-08-25
Frank-Mir,Antoni-Hardonk,Win,Loss,2007-08-25
Thales-Leites,Ryan-Jensen,Win,Loss,2007-08-25
Clay-Guida,Marcus-Aurelio,Win,Loss,2007-08-25
Kenny-Florian,Alvin-Robinson,Win,Loss,2007-07-07
Anderson-Silva,Nate-Marquardt,Win,Loss,2007-07-07
Rashad-Evans,Tito-Ortiz,Draw,Draw,2007-07-07
Sean-Sherk,Hermes-Franca,Win,Loss,2007-07-07
Antonio Rodrigo-Nogueira,Heath-Herring,Win,Loss,2007-07-07
Stephan-Bonnar,Mike-Nickels,Win,Loss,2007-07-07
Jorge-Gurgel,Diego-Saraiva,Win,Loss,2007-07-07
Chris-Lytle,Jason-Gilliam,Win,Loss,2007-07-07
Frankie-Edgar,Mark-Bocek,Win,Loss,2007-07-07
Kenny-Florian,Din-Thomas,Win,Loss,2007-09-19
Chris-Leben,Terry-Martin,Win,Loss,2007-09-19
Nate-Diaz,Junior-Assuncao,Win,Loss,2007-09-19
Nate-Quarry,Pete-Sell,Win,Loss,2007-09-19
Luke-Cummo,Edilberto-de Oliveira,Win,Loss,2007-09-19
Cole-Miller,Leonard-Garcia,Win,Loss,2007-09-19
Gray-Maynard,Joe-Veres,Win,Loss,2007-09-19
Thiago-Alves,Kuniyoshi-Hironaka,Win,Loss,2007-09-19
Dustin-Hazelett,Jonathan-Goulet,Win,Loss,2007-09-19
Keith-Jardine,Chuck-Liddell,Win,Loss,2007-09-22
Forrest-Griffin,Mauricio-Rua,Win,Loss,2007-09-22
Jon-Fitch,Diego-Sanchez,Win,Loss,2007-09-22
Lyoto-Machida,Kazuhiro-Nakamura,Win,Loss,2007-09-22
Tyson-Griffin,Thiago-Tavares,Win,Loss,2007-09-22
Rich-Clementi,Anthony-Johnson,Win,Loss,2007-09-22
Jeremy-Stephens,Diego-Saraiva,Win,Loss,2007-09-22
Christian-Wellisch,Scott-Junk,Win,Loss,2007-09-22
Matt-Wiman,Michihiro-Omigawa,Win,Loss,2007-09-22
BJ-Penn,Jens-Pulver,Win,Loss,2007-06-23
Nate-Diaz,Manvel-Gamburyan,Win,Loss,2007-06-23
Thales-Leites,Floyd-Sword,Win,Loss,2007-06-23
Roger-Huerta,Doug-Evans,Win,Loss,2007-06-23
Joe-Lauzon,Brandon-Melendez,Win,Loss,2007-06-23
Cole-Miller,Andy-Wang,Win,Loss,2007-06-23
Gray-Maynard,Rob-Emerson,No Contest,No Contest,2007-06-23
Leonard-Garcia,Allen-Berube,Win,Loss,2007-06-23
Matt-Wiman,Brian-Geraghty,Win,Loss,2007-06-23
Rich-Franklin,Yushin-Okami,Win,Loss,2007-06-16
Forrest-Griffin,Hector-Ramirez,Win,Loss,2007-06-16
Jason-MacDonald,Rory-Singer,Win,Loss,2007-06-16
Tyson-Griffin,Clay-Guida,Win,Loss,2007-06-16
Ed-Herman,Scott-Smith,Win,Loss,2007-06-16
Marcus-Davis,Jason-Tan,Win,Loss,2007-06-16
Eddie-Sanchez,Colin-Robinson,Win,Loss,2007-06-16
Dustin-Hazelett,Stevie-Lynch,Win,Loss,2007-06-16
Gabriel-Gonzaga,Mirko-Filipovic,Win,Loss,2007-04-21
Andrei-Arlovski,Fabricio-Werdum,Win,Loss,2007-04-21
Michael-Bisping,Elvis-Sinosic,Win,Loss,2007-04-21
Lyoto-Machida,David-Heath,Win,Loss,2007-04-21
Cheick-Kongo,Assuerio-Silva,Win,Loss,2007-04-21
Terry-Etim,Matt-Grice,Win,Loss,2007-04-21
Junior-Assuncao,David-Lee,Win,Loss,2007-04-21
Alessio-Sakara,Victor-Valimaki,Win,Loss,2007-04-21
Jess-Liaudin,Dennis-Siver,Win,Loss,2007-04-21
Paul-Taylor,Edilberto-de Oliveira,Win,Loss,2007-04-21
Joe-Stevenson,Melvin-Guillard,Win,Loss,2007-04-05
Justin-McCully,Antoni-Hardonk,Win,Loss,2007-04-05
Kenny-Florian,Dokonjonosuke-Mishima,Win,Loss,2007-04-05
Wilson-Gouveia,Seth-Petruzelli,Win,Loss,2007-04-05
Drew-Fickett,Keita-Nakamura,Win,Loss,2007-04-05
Kurt-Pellegrino,Nate-Mohr,Win,Loss,2007-04-05
Kuniyoshi-Hironaka,Forrest-Petz,Win,Loss,2007-04-05
Roan-Carneiro,Rich-Clementi,Win,Loss,2007-04-05
Thiago-Tavares,Naoyuki-Kotani,Win,Loss,2007-04-05
Anderson-Silva,Travis-Lutter,Win,Loss,2007-02-03
Mirko-Filipovic,Eddie-Sanchez,Win,Loss,2007-02-03
Roger-Huerta,John-Halverson,Win,Loss,2007-02-03
Quinton-Jackson,Marvin-Eastman,Win,Loss,2007-02-03
Patrick-Cote,Scott-Smith,Win,Loss,2007-02-03
Terry-Martin,Jorge-Rivera,Win,Loss,2007-02-03
Frankie-Edgar,Tyson-Griffin,Win,Loss,2007-02-03
Lyoto-Machida,Sam-Hoger,Win,Loss,2007-02-03
Dustin-Hazelett,Diego-Saraiva,Win,Loss,2007-02-03
Quinton-Jackson,Chuck-Liddell,Win,Loss,2007-05-26
Karo-Parisyan,Joshua-Burkman,Win,Loss,2007-05-26
Terry-Martin,Ivan-Salaverry,Win,Loss,2007-05-26
Houston-Alexander,Keith-Jardine,Win,Loss,2007-05-26
Kalib-Starnes,Chris-Leben,Win,Loss,2007-05-26
Thiago-Silva,James-Irvin,Win,Loss,2007-05-26
Alan-Belcher,Sean-Salmon,Win,Loss,2007-05-26
Din-Thomas,Jeremy-Stephens,Win,Loss,2007-05-26
Wilson-Gouveia,Carmelo-Marrero,Win,Loss,2007-05-26
Spencer-Fisher,Sam-Stout,Win,Loss,2007-06-12
Jon-Fitch,Roan-Carneiro,Win,Loss,2007-06-12
Drew-McFedries,Jordan-Radev,Win,Loss,2007-06-12
Thiago-Tavares,Jason-Black,Win,Loss,2007-06-12
Forrest-Petz,Luigi-Fioravanti,Win,Loss,2007-06-12
Tamdan-McCrory,Pete-Spratt,Win,Loss,2007-06-12
Gleison-Tibau,Jeff-Cox,Win,Loss,2007-06-12
Anthony-Johnson,Chad-Reiner,Win,Loss,2007-06-12
Nate-Mohr,Luke-Caudillo,Win,Loss,2007-06-12
Randy-Couture,Tim-Sylvia,Win,Loss,2007-03-03
Martin-Kampmann,Drew-McFedries,Win,Loss,2007-03-03
Rich-Franklin,Jason-MacDonald,Win,Loss,2007-03-03
Matt-Hughes,Chris-Lytle,Win,Loss,2007-03-03
Jason-Lambert,Renato-Sobral,Win,Loss,2007-03-03
Matt-Hamill,Rex-Holman,Win,Loss,2007-03-03
Jon-Fitch,Luigi-Fioravanti,Win,Loss,2007-03-03
Gleison-Tibau,Jason-Dent,Win,Loss,2007-03-03
Jamie-Varner,Jason-Gilliam,Win,Loss,2007-03-03
Matt-Serra,Georges-St-Pierre,Win,Loss,2007-04-07
Josh-Koscheck,Diego-Sanchez,Win,Loss,2007-04-07
Roger-Huerta,Leonard-Garcia,Win,Loss,2007-04-07
Yushin-Okami,Mike-Swick,Win,Loss,2007-04-07
Kendall-Grove,Alan-Belcher,Win,Loss,2007-04-07
Heath-Herring,Brad-Imes,Win,Loss,2007-04-07
Thales-Leites,Pete-Sell,Win,Loss,2007-04-07
Marcus-Davis,Pete-Spratt,Win,Loss,2007-04-07
Luke-Cummo,Josh-Haynes,Win,Loss,2007-04-07
Chuck-Liddell,Tito-Ortiz,Win,Loss,2006-12-30
Keith-Jardine,Forrest-Griffin,Win,Loss,2006-12-30
Jason-MacDonald,Chris-Leben,Win,Loss,2006-12-30
Andrei-Arlovski,Marcio-Cruz,Win,Loss,2006-12-30
Michael-Bisping,Eric-Schafer,Win,Loss,2006-12-30
Thiago-Alves,Tony-DeSouza,Win,Loss,2006-12-30
Gabriel-Gonzaga,Carmelo-Marrero,Win,Loss,2006-12-30
Yushin-Okami,Rory-Singer,Win,Loss,2006-12-30
Christian-Wellisch,Anthony-Perosh,Win,Loss,2006-12-30
Rashad-Evans,Sean-Salmon,Win,Loss,2007-01-25
Jake-O'Brien,Heath-Herring,Win,Loss,2007-01-25
Hermes-Franca,Spencer-Fisher,Win,Loss,2007-01-25
Nate-Marquardt,Dean-Lister,Win,Loss,2007-01-25
Joshua-Burkman,Chad-Reiner,Win,Loss,2007-01-25
Ed-Herman,Chris-Price,Win,Loss,2007-01-25
Din-Thomas,Clay-Guida,Win,Loss,2007-01-25
Rich-Clementi,Ross-Pointon,Win,Loss,2007-01-25
Matt-Serra,Chris-Lytle,Win,Loss,2006-11-11
Travis-Lutter,Patrick-Cote,Win,Loss,2006-11-11
Din-Thomas,Rich-Clementi,Win,Loss,2006-11-11
Jorge-Rivera,Edwin-DeWees,Win,Loss,2006-11-11
Pete-Spratt,Jeremy-Jackson,Win,Loss,2006-11-11
Scott-Smith,Pete-Sell,Win,Loss,2006-11-11
Charles-McCarthy,Gideon-Ray,Win,Loss,2006-11-11
Martin-Kampmann,Thales-Leites,Win,Loss,2006-11-11
Georges-St-Pierre,Matt-Hughes,Win,Loss,2006-11-18
Tim-Sylvia,Jeff-Monson,Win,Loss,2006-11-18
Drew-McFedries,Alessio-Sakara,Win,Loss,2006-11-18
Brandon-Vera,Frank-Mir,Win,Loss,2006-11-18
Joe-Stevenson,Dokonjonosuke-Mishima,Win,Loss,2006-11-18
Nick-Diaz,Gleison-Tibau,Win,Loss,2006-11-18
Antoni-Hardonk,Sherman-Pendergarst,Win,Loss,2006-11-18
James-Irvin,Hector-Ramirez,Win,Loss,2006-11-18
Jake-O'Brien,Josh-Shockman,Win,Loss,2006-11-18
Diego-Sanchez,Joe-Riggs,Win,Loss,2006-12-13
Josh-Koscheck,Jeff-Joslin,Win,Loss,2006-12-13
Karo-Parisyan,Drew-Fickett,Win,Loss,2006-12-13
Marcus-Davis,Shonie-Carter,Win,Loss,2006-12-13
David-Heath,Victor-Valimaki,Win,Loss,2006-12-13
Alan-Belcher,Jorge-Santiago,Win,Loss,2006-12-13
Luigi-Fioravanti,Dave-Menne,Win,Loss,2006-12-13
Brock-Larson,Keita-Nakamura,Win,Loss,2006-12-13
Logan-Clark,Steve-Byrnes,Win,Loss,2006-12-13
Anderson-Silva,Rich-Franklin,Win,Loss,2006-10-14
Sean-Sherk,Kenny-Florian,Win,Loss,2006-10-14
Jon-Fitch,Kuniyoshi-Hironaka,Win,Loss,2006-10-14
Carmelo-Marrero,Cheick-Kongo,Win,Loss,2006-10-14
Spencer-Fisher,Dan-Lauzon,Win,Loss,2006-10-14
Yushin-Okami,Kalib-Starnes,Win,Loss,2006-10-14
Clay-Guida,Justin-James,Win,Loss,2006-10-14
Kurt-Pellegrino,Junior-Assuncao,Win,Loss,2006-10-14
Diego-Sanchez,Karo-Parisyan,Win,Loss,2006-08-17
Chris-Leben,Jorge-Santiago,Win,Loss,2006-08-17
Dean-Lister,Yuki-Sasaki,Win,Loss,2006-08-17
Josh-Koscheck,Jonathan-Goulet,Win,Loss,2006-08-17
Martin-Kampmann,Crafton-Wallace,Win,Loss,2006-08-17
Joe-Riggs,Jason-Von Flue,Win,Loss,2006-08-17
Jake-O'Brien,Kristof-Midoux,Win,Loss,2006-08-17
